Ewe/V	<I>/mA	cycle number	
2,3962172E-002	-4,070557057857513E-001	1,000000000000000E+000
2,4485877E-002	-7,416913531241203E-001	1,000000000000000E+000
2,5582006E-002	-1,675296973941527E-001	1,000000000000000E+000
2,6622949E-002	-6,089593188112774E-002	1,000000000000000E+000
2,7588442E-002	-1,021508464723786E-002	1,000000000000000E+000
2,8590934E-002	2,075754266439214E-002	1,000000000000000E+000
2,9598881E-002	4,414772105519671E-002	1,000000000000000E+000
3,0595774E-002	5,908667141920887E-002	1,000000000000000E+000
3,1564377E-002	7,035850771030241E-002	1,000000000000000E+000
3,2577634E-002	7,949606065974679E-002	1,000000000000000E+000
3,3610277E-002	9,388659408755862E-002	1,000000000000000E+000
3,4591995E-002	9,624894623670566E-002	1,000000000000000E+000
3,5600998E-002	1,030432362135295E-001	1,000000000000000E+000
3,6572639E-002	1,082421126128696E-001	1,000000000000000E+000
3,7591923E-002	1,189612925518306E-001	1,000000000000000E+000
3,8614172E-002	1,193856014482053E-001	1,000000000000000E+000
3,9637610E-002	1,235427898742887E-001	1,000000000000000E+000
4,0609892E-002	1,282950755622660E-001	1,000000000000000E+000
4,1605100E-002	1,309703539979332E-001	1,000000000000000E+000
4,2594358E-002	1,358159940767425E-001	1,000000000000000E+000
4,5075543E-002	1,436777070540791E-001	1,000000000000000E+000
4,7596034E-002	1,591614495652421E-001	1,000000000000000E+000
4,8673395E-002	1,581887437237638E-001	1,000000000000000E+000
4,9642909E-002	1,604586412172979E-001	1,000000000000000E+000
5,0570186E-002	1,625650214652227E-001	1,000000000000000E+000
5,1592141E-002	1,656507828997251E-001	1,000000000000000E+000
5,2585009E-002	1,680559938152637E-001	1,000000000000000E+000
5,3593162E-002	1,702464612770007E-001	1,000000000000000E+000
5,4625943E-002	1,726194205823262E-001	1,000000000000000E+000
5,5572201E-002	1,789806658246873E-001	1,000000000000000E+000
5,6557305E-002	1,793762928573421E-001	1,000000000000000E+000
5,7647604E-002	1,798279301211663E-001	1,000000000000000E+000
5,8649819E-002	1,822854002756591E-001	1,000000000000000E+000
5,9557140E-002	1,837193913266280E-001	1,000000000000000E+000
