Ewe/V	<I>/mA	
1,6473644E-004	1,924941681897308E-002
2,1058913E-004	1,905552785329632E-002
2,0294702E-004	1,859636439944281E-002
1,3416792E-004	1,870857434111655E-002
2,1058913E-004	1,933715389195858E-002
1,7619958E-004	1,912775719095060E-002
1,4945219E-004	1,855515516447703E-002
1,7619961E-004	1,899264172648583E-002
1,9912595E-004	1,915069383220987E-002
1,6473641E-004	1,928686458203588E-002
1,3416792E-004	1,974743974287929E-002
1,8002068E-004	1,999428242328103E-002
1,8766278E-004	2,057515026154085E-002
1,6091534E-004	2,065610425946939E-002
1,8766279E-004	2,040190818626597E-002
2,2969444E-004	1,945459760660861E-002
2,1441022E-004	1,915658542627690E-002
1,8384169E-004	1,932890473408302E-002
1,6091534E-004	1,950258284304995E-002
1,7619961E-004	1,870378194129102E-002
1,6473640E-004	1,881650008596253E-002
1,1506262E-004	1,915915545382732E-002
1,9912596E-004	1,916968891842087E-002
1,7237855E-004	1,874942320527332E-002
1,6855750E-004	1,955661959096166E-002
1,5327323E-004	2,009875646492352E-002
1,8384172E-004	2,014641158848201E-002
1,9912595E-004	1,912334762804285E-002
1,5709428E-004	1,881114292615303E-002
1,2270473E-004	1,896765369744749E-002
1,7237855E-004	1,850506172026489E-002
1,4181003E-004	1,853441709573014E-002
1,4563113E-004	1,793593180711581E-002
1,5327323E-004	1,847999442971297E-002
1,6473644E-004	1,796065730376432E-002
2,2205233E-004	1,804825362149522E-002
2,0676811E-004	1,735410073244011E-002
1,3416792E-004	1,652004958456973E-002
1,7237852E-004	1,570835018613282E-002
1,8384172E-004	1,692456429775693E-002
1,3416792E-004	1,674946076546714E-002
1,8766279E-004	1,661451028573196E-002
1,3416792E-004	1,657539272439436E-002
1,6473641E-004	1,672248659506203E-002
1,9912599E-004	1,719280776470426E-002
1,8384169E-004	1,723927918599494E-002
1,9148384E-004	1,681042242402463E-002
1,3416792E-004	1,570436075905411E-002
1,5327323E-004	1,572349373148733E-002
1,5327323E-004	1,590668737000683E-002
1,6855750E-004	1,641452546105162E-002
1,5709428E-004	1,753181462134278E-002
1,9530491E-004	1,756073683196212E-002
1,3416792E-004	1,841461586011243E-002
1,7619958E-004	1,849571458706284E-002
1,8766275E-004	1,845319014987236E-002
1,4181003E-004	1,910194544022928E-002
2,0676811E-004	1,932627498491221E-002
1,9148384E-004	1,925932499916217E-002
2,2969444E-004	1,885221478023224E-002
1,6473641E-004	1,729175556920364E-002
1,8002068E-004	1,781054446726201E-002
1,9530491E-004	1,817427914941434E-002
1,3034686E-004	1,806283613848913E-002
1,6473640E-004	1,840971398294297E-002
1,6473640E-004	1,922012764527086E-002
1,4563109E-004	1,909379354074518E-002
1,8002064E-004	1,952810903685163E-002
1,9530491E-004	1,953404549794363E-002
1,3416792E-004	1,912405643941837E-002
2,1058918E-004	1,821994414349644E-002
2,2587339E-004	1,775668199514039E-002
1,2652579E-004	1,711871102670677E-002
1,9148384E-004	1,775250182816443E-002
1,3798897E-004	1,716109054022895E-002
1,8766279E-004	1,815227849109150E-002
1,9148388E-004	1,921596376340186E-002
1,9912599E-004	1,861646604740214E-002
2,2205233E-004	1,814641075490172E-002
1,5709430E-004	1,765868203546084E-002
1,9148384E-004	1,755046082218760E-002
1,8002064E-004	1,714590917218736E-002
1,5327324E-004	1,621651019851942E-002
1,2270475E-004	1,681559511658086E-002
1,2270475E-004	1,724056436463673E-002
5,5830571E-004	1,094868136288876E-001
5,0205354E-002	9,745725387150795E+000
5,0251205E-002	1,023558128503127E+001
5,0239742E-002	9,910348201291818E+000
5,0186247E-002	9,673437509576969E+000
5,0174788E-002	9,492954814587906E+000
5,0201531E-002	9,350381531986873E+000
5,0255027E-002	9,238756166198534E+000
5,0201531E-002	9,151202524193348E+000
5,0209176E-002	9,082252162153358E+000
5,0190069E-002	9,024362648056668E+000
5,0212994E-002	8,976545828420674E+000
5,0170965E-002	8,937743000940493E+000
5,0209176E-002	8,912971708009724E+000
5,0239742E-002	8,887479180929878E+000
5,0212994E-002	8,864488023580273E+000
5,0232101E-002	8,842734593808629E+000
5,0232101E-002	8,824833769763275E+000
5,0193891E-002	8,810863527291522E+000
5,0228279E-002	8,799594642729502E+000
5,0243564E-002	8,785509745904573E+000
5,0174784E-002	8,776413105850859E+000
5,0209176E-002	8,770944066749381E+000
5,0182428E-002	8,764369400560037E+000
5,0197713E-002	8,757228098270868E+000
5,0174784E-002	8,751494826336481E+000
5,0239742E-002	8,748755067394283E+000
5,0228279E-002	8,745053923082340E+000
5,0144214E-002	8,740183174057927E+000
5,0232101E-002	8,734529108973687E+000
5,0159503E-002	8,732929075363931E+000
5,0235923E-002	8,731723120209566E+000
5,0209176E-002	8,728996737694402E+000
5,0235923E-002	8,723010282388751E+000
5,0197709E-002	8,720576507760621E+000
5,0228279E-002	8,719120304453874E+000
5,0163321E-002	8,718120563637298E+000
5,0228279E-002	8,715694697449001E+000
5,0251205E-002	8,709487448604449E+000
5,0239742E-002	8,707461502126877E+000
5,0190069E-002	8,707047485202052E+000
5,0243564E-002	8,706978832856567E+000
5,0190069E-002	8,702834534770611E+000
5,0224461E-002	8,700362110391746E+000
5,0170962E-002	8,700350157037562E+000
5,0255027E-002	8,700286009086723E+000
5,0235923E-002	8,699450720064156E+000
5,0159503E-002	8,695777663750359E+000
5,0232101E-002	8,694805397910063E+000
5,0212994E-002	8,695628650036571E+000
5,0232101E-002	8,693794722072763E+000
5,0216816E-002	8,691565822823646E+000
5,0235923E-002	8,691937404482815E+000
5,0239742E-002	8,690313607406576E+000
5,0266489E-002	8,690444824031289E+000
5,0228279E-002	8,688758987196710E+000
5,0186250E-002	8,684038705095043E+000
5,0293237E-002	8,685220735611965E+000
5,0235923E-002	8,685222444405648E+000
5,0235923E-002	8,684680124521952E+000
5,0258849E-002	8,682923795704085E+000
5,0239742E-002	8,683037483603686E+000
5,0197713E-002	8,682622882267223E+000
5,0251208E-002	8,682851648523613E+000
5,0224461E-002	8,681133745533742E+000
5,0201531E-002	8,678727410405205E+000
5,0247386E-002	8,679197716050631E+000
5,0224457E-002	8,678675535289454E+000
5,0205354E-002	8,679529884828858E+000
5,0209176E-002	8,676926379247035E+000
5,0209176E-002	8,676684655798852E+000
5,0220639E-002	8,677382065255557E+000
5,0182428E-002	8,678389645275212E+000
5,0186247E-002	8,677890171309347E+000
5,0216816E-002	8,676134236168249E+000
5,0170962E-002	8,677049854515657E+000
5,0209176E-002	8,675582012376527E+000
5,0209176E-002	8,676247496440274E+000
5,0232101E-002	8,673569160992059E+000
5,0205354E-002	8,673858845676502E+000
5,0163321E-002	8,674128967448462E+000
5,0205354E-002	8,674619815239183E+000
5,0205354E-002	8,671692024904905E+000
5,0201531E-002	8,671501230336792E+000
5,0212998E-002	8,672982239476074E+000
5,0266489E-002	8,673469801286487E+000
5,0193891E-002	8,676347982244510E+000
5,0232101E-002	8,675061598583167E+000
5,0205354E-002	8,675753653921390E+000
5,0182428E-002	8,677165098430311E+000
5,0201535E-002	8,676738042679169E+000
5,0209176E-002	8,673834264148171E+000
5,0232101E-002	8,673392319442486E+000
5,0224461E-002	8,673809838259492E+000
5,0235920E-002	8,674958513253415E+000
5,0232101E-002	8,675599279222666E+000
5,0239742E-002	8,674733136546367E+000
5,0239742E-002	8,675087274357436E+000
5,0197709E-002	8,674922109787225E+000
5,0186250E-002	8,673637473829478E+000
5,0216816E-002	8,671792600545263E+000
5,0174784E-002	8,671866122351929E+000
5,0247386E-002	8,673618787343717E+000
5,0243564E-002	8,673794909822835E+000
5,0216816E-002	8,672368646168335E+000
5,0190069E-002	8,669980433331821E+000
5,0197713E-002	8,673331948614241E+000
5,0243564E-002	8,672649238330880E+000
5,0201531E-002	8,672124380605830E+000
5,0190069E-002	8,670613772657513E+000
5,0174784E-002	8,670841084369798E+000
5,0190069E-002	8,673792637026146E+000
5,0274134E-002	8,673620671041274E+000
5,0201531E-002	8,671332413003121E+000
5,0247386E-002	8,670663559989396E+000
5,0228279E-002	8,672070058743190E+000
5,0212998E-002	8,673789497339484E+000
5,0178602E-002	8,674634794983518E+000
5,0205354E-002	8,672703330358004E+000
5,0197713E-002	8,671692661196426E+000
5,0197713E-002	8,674505006962967E+000
5,0197713E-002	8,674594698127342E+000
5,0262667E-002	8,674226005910691E+000
5,0174784E-002	8,673179081102443E+000
5,0197713E-002	8,673449518922082E+000
5,0201531E-002	8,674881015578421E+000
5,0197709E-002	8,675748545850887E+000
5,0232101E-002	8,674620895370740E+000
5,0182428E-002	8,673984139220622E+000
5,0201531E-002	8,676091530822015E+000
5,0159503E-002	8,677099191713253E+000
5,0193891E-002	8,674776122654325E+000
5,0174788E-002	8,673408056213514E+000
5,0190069E-002	8,675349393275802E+000
5,0262671E-002	8,676283979824374E+000
5,0212994E-002	8,674556463606418E+000
5,0197713E-002	8,673024160520528E+000
5,0178606E-002	8,674433710460006E+000
5,0209176E-002	8,676145858215966E+000
5,0216816E-002	8,675960039157621E+000
5,0232101E-002	8,675055331226137E+000
5,0201531E-002	8,675620110140551E+000
5,0178606E-002	8,674443842868403E+000
5,0220639E-002	8,674520030767058E+000
5,0247386E-002	8,675614610109893E+000
5,0212994E-002	8,675031048197875E+000
5,0182428E-002	8,675886356752196E+000
5,0216816E-002	8,679269060618777E+000
5,0270312E-002	8,679364186201015E+000
5,0235923E-002	8,680180635768455E+000
5,0224461E-002	8,680082992485957E+000
5,0235923E-002	8,681815722632271E+000
5,0205354E-002	8,682676438901572E+000
5,0243564E-002	8,680770371768155E+000
5,0274134E-002	8,679730931396131E+000
5,0216816E-002	8,680744111391515E+000
5,0201531E-002	8,679871083377211E+000
5,0235923E-002	8,678463111005827E+000
5,0220639E-002	8,676586384617170E+000
5,0205354E-002	8,676296191815039E+000
5,0220639E-002	8,678013715242523E+000
5,0220639E-002	8,677457183322336E+000
5,0155681E-002	8,674759170902188E+000
5,0205354E-002	8,674088884134461E+000
5,0163325E-002	8,676386916571664E+000
5,0251208E-002	8,676934036298315E+000
5,0224457E-002	8,674132935305924E+000
5,0209176E-002	8,672671099217053E+000
5,0224457E-002	8,672600867205391E+000
5,0209176E-002	8,673882873120041E+000
5,0212998E-002	8,673549361949812E+000
5,0167143E-002	8,669299883502312E+000
5,0190069E-002	8,668823751288134E+000
5,0209176E-002	8,668987951693589E+000
5,0209176E-002	8,670264650792003E+000
5,0190069E-002	8,669166565933025E+000
5,0201531E-002	8,667770709231199E+000
5,0232101E-002	8,667288356390035E+000
5,0182428E-002	8,667963720710683E+000
5,0224461E-002	8,669101128805213E+000
5,0235923E-002	8,668417558116863E+000
5,0235923E-002	8,669956998310781E+000
5,0228279E-002	8,670468987535752E+000
5,0197709E-002	8,670100576843765E+000
5,0163321E-002	8,667246223439141E+000
5,0178606E-002	8,667424211686740E+000
5,0170965E-002	8,667749618150953E+000
5,0201531E-002	8,668659659220085E+000
5,0239742E-002	8,667898211103621E+000
5,0163321E-002	8,665599957223236E+000
5,0144218E-002	8,664922163894040E+000
5,0209176E-002	8,664682082100866E+000
5,0243564E-002	8,667095682320529E+000
5,0205354E-002	8,665998958164101E+000
5,0228279E-002	8,666316575588507E+000
5,0239742E-002	8,666088355406044E+000
5,0251205E-002	8,667210515201543E+000
5,0186250E-002	8,667011287100502E+000
5,0209176E-002	8,659901375383720E+000
5,0247386E-002	8,662508279288687E+000
5,0220639E-002	8,664678036805048E+000
5,0193891E-002	8,667862013631089E+000
5,0186247E-002	8,665107557995098E+000
5,0258849E-002	8,664860182691301E+000
5,0251205E-002	8,664778728221473E+000
5,0201531E-002	8,666318192257249E+000
5,0258849E-002	8,666668399213423E+000
5,0239742E-002	8,664534546200837E+000
5,0262667E-002	8,665933879808575E+000
5,0266489E-002	8,666604280826489E+000
5,0212998E-002	8,667232178486392E+000
5,0232101E-002	8,665559009308078E+000
5,0277952E-002	8,665359886874153E+000
5,0190069E-002	8,664490670314720E+000
5,0209176E-002	8,664929153754752E+000
5,0235923E-002	8,664585403173863E+000
5,0220639E-002	8,663541463557037E+000
5,0216816E-002	8,664718388673744E+000
5,0255027E-002	8,665957969050213E+000
5,0182428E-002	8,666554974527939E+000
5,0251205E-002	8,664031000236273E+000
5,0174784E-002	8,664604934996561E+000
5,0228279E-002	8,665276928459887E+000
5,0212994E-002	8,667126896844634E+000
5,0239742E-002	8,664479108729955E+000
5,0212994E-002	8,662454991209033E+000
5,0266489E-002	8,665736914395273E+000
5,0232101E-002	8,666212672578375E+000
5,0205354E-002	8,666627562115224E+000
5,0212994E-002	8,664512795940890E+000
5,0151858E-002	8,666383203855570E+000
5,0232101E-002	8,665461377469674E+000
5,0201531E-002	8,665447107831252E+000
5,0212998E-002	8,664113866334864E+000
5,0201531E-002	8,662499361670665E+000
5,0182428E-002	8,663376872908042E+000
5,0201531E-002	8,663573553935654E+000
5,0251205E-002	8,663237078936310E+000
5,0289415E-002	8,661919926307515E+000
5,0212998E-002	8,662075536968185E+000
5,0232101E-002	8,663004402858359E+000
9,1125093E-002	1,832814644384288E+001
1,0026508E-001	1,945830198653791E+001
1,0022686E-001	1,889988514084237E+001
1,0020775E-001	1,854628071029397E+001
1,0026126E-001	1,829014495019184E+001
1,0023069E-001	1,809392375153981E+001
1,0023451E-001	1,794299724664371E+001
1,0025361E-001	1,782407478117610E+001
1,0024215E-001	1,773409384971903E+001
1,0021158E-001	1,766514775499025E+001
1,0028418E-001	1,761010305145127E+001
1,0025743E-001	1,756109874418303E+001
1,0028035E-001	1,752153188985097E+001
1,0025743E-001	1,749480352842747E+001
1,0025361E-001	1,747446597946704E+001
1,0026889E-001	1,745051951928264E+001
1,0022686E-001	1,743110439008429E+001
1,0028035E-001	1,741903526097995E+001
1,0024597E-001	1,741015421560484E+001
1,0023451E-001	1,740000024081525E+001
1,0025361E-001	1,738842508526466E+001
1,0025743E-001	1,738180714533917E+001
1,0021540E-001	1,738035896186143E+001
1,0028036E-001	1,737665908803444E+001
1,0021540E-001	1,737156547332752E+001
1,0025743E-001	1,736484427374061E+001
1,0022304E-001	1,736361176714820E+001
1,0024979E-001	1,736288593781467E+001
1,0022686E-001	1,736053116404303E+001
1,0026889E-001	1,735462642298810E+001
1,0026507E-001	1,735441922312325E+001
1,0023832E-001	1,735225145497157E+001
1,0025361E-001	1,734984915045226E+001
1,0023069E-001	1,734904864345877E+001
1,0027654E-001	1,734583177059003E+001
1,0024979E-001	1,734631478680706E+001
1,0028417E-001	1,734591347797430E+001
1,0027654E-001	1,734455283569749E+001
1,0026889E-001	1,734162416855503E+001
1,0024979E-001	1,734271115169100E+001
1,0030710E-001	1,734521329332526E+001
1,0026125E-001	1,734680094366444E+001
1,0023832E-001	1,734378416502377E+001
1,0024979E-001	1,734196701676925E+001
1,0026889E-001	1,734326108876239E+001
1,0025361E-001	1,734130876632538E+001
1,0021922E-001	1,733901755761882E+001
1,0022686E-001	1,733778782354844E+001
1,0026889E-001	1,733679356922035E+001
1,0026507E-001	1,734061673368461E+001
1,0029182E-001	1,733971026546102E+001
1,0022304E-001	1,733489856985912E+001
1,0028036E-001	1,733193051062582E+001
1,0027272E-001	1,733103738163597E+001
1,0021922E-001	1,733398912426425E+001
1,0021540E-001	1,733006854845109E+001
1,0026507E-001	1,732588861174577E+001
