Ewe/V	<I>/mA	cycle number	
3,2939140E-002	-3,192232251167297E-001	1,000000000000000E+000
3,3468746E-002	-8,178594488126674E-001	1,000000000000000E+000
3,4861453E-002	-1,700522328539780E-001	1,000000000000000E+000
3,6132157E-002	-2,059905132642192E-002	1,000000000000000E+000
3,7321683E-002	3,580999766402081E-002	1,000000000000000E+000
3,8484372E-002	6,901768651005130E-002	1,000000000000000E+000
3,9718430E-002	9,220631679959790E-002	1,000000000000000E+000
4,0943693E-002	1,119569612460007E-001	1,000000000000000E+000
4,2059701E-002	1,264280989109667E-001	1,000000000000000E+000
4,3303438E-002	1,371260567328947E-001	1,000000000000000E+000
4,4514559E-002	1,459262795574938E-001	1,000000000000000E+000
4,5646954E-002	1,570209662604616E-001	1,000000000000000E+000
4,6883371E-002	1,629496695467323E-001	1,000000000000000E+000
4,8064452E-002	1,715228871681682E-001	1,000000000000000E+000
4,9228307E-002	1,733325739559306E-001	1,000000000000000E+000
5,0495762E-002	1,814782868314069E-001	1,000000000000000E+000
5,1727928E-002	1,876987097849552E-001	1,000000000000000E+000
5,2913927E-002	1,927925725920234E-001	1,000000000000000E+000
5,4039650E-002	1,966580490471745E-001	1,000000000000000E+000
5,5281132E-002	2,015471740386499E-001	1,000000000000000E+000
5,6505695E-002	2,046976902961934E-001	1,000000000000000E+000
5,7657309E-002	2,105224260368344E-001	1,000000000000000E+000
5,8895323E-002	2,138649454120438E-001	1,000000000000000E+000
6,0131785E-002	2,169443864161926E-001	1,000000000000000E+000
6,1300736E-002	2,196684797462602E-001	1,000000000000000E+000
6,4744495E-002	2,287054995874911E-001	1,000000000000000E+000
6,8160921E-002	2,401793682883087E-001	1,000000000000000E+000
6,9397487E-002	2,478638878156854E-001	1,000000000000000E+000
7,0720844E-002	2,471311555483325E-001	1,000000000000000E+000
7,1716957E-002	2,513608645434344E-001	1,000000000000000E+000
7,2937995E-002	2,530462813447230E-001	1,000000000000000E+000
7,4266575E-002	2,560441228108374E-001	1,000000000000000E+000
7,5486057E-002	2,587557788097508E-001	1,000000000000000E+000
7,6595567E-002	2,627417198544006E-001	1,000000000000000E+000
7,7857710E-002	2,641209913967439E-001	1,000000000000000E+000
7,9002962E-002	2,659029038073253E-001	1,000000000000000E+000
8,0240622E-002	2,708270850481416E-001	1,000000000000000E+000
8,1395417E-002	2,715485683745807E-001	1,000000000000000E+000
8,2670733E-002	2,748658268958222E-001	1,000000000000000E+000
8,3866686E-002	2,768651008664165E-001	1,000000000000000E+000
8,4959261E-002	2,788682144148176E-001	1,000000000000000E+000
8,6345792E-002	2,822033910746944E-001	1,000000000000000E+000
8,7401249E-002	2,833528384508099E-001	1,000000000000000E+000
8,8673078E-002	2,873534405823897E-001	1,000000000000000E+000
8,9824058E-002	2,872844966607067E-001	1,000000000000000E+000
9,1044165E-002	2,921488895727746E-001	1,000000000000000E+000
9,2237964E-002	2,932570020073193E-001	1,000000000000000E+000
9,3482345E-002	2,950687907092888E-001	1,000000000000000E+000
9,4602264E-002	2,983340950191224E-001	1,000000000000000E+000
9,5878214E-002	2,996223717184172E-001	1,000000000000000E+000
9,6949793E-002	3,004445041846751E-001	1,000000000000000E+000
9,8153777E-002	3,053380389950089E-001	1,000000000000000E+000
9,9455446E-002	3,054394198503965E-001	1,000000000000000E+000
1,0064060E-001	3,067589738703753E-001	1,000000000000000E+000
