Ewe/V	<I>/mA	cycle number	
4,1985780E-002	-2,429998815059662E-001	1,000000000000000E+000
4,2332426E-002	-1,110087303286216E+000	1,000000000000000E+000
4,3954678E-002	-1,181239113955395E-001	1,000000000000000E+000
4,5036271E-002	4,470161808887507E-002	1,000000000000000E+000
4,6102330E-002	4,473592654358088E-002	1,000000000000000E+000
4,7273912E-002	9,210660872459253E-002	1,000000000000000E+000
4,8480235E-002	1,209884404864472E-001	1,000000000000000E+000
4,9684189E-002	1,435406080779136E-001	1,000000000000000E+000
5,0921932E-002	1,620342188269004E-001	1,000000000000000E+000
5,2069046E-002	1,753936741173410E-001	1,000000000000000E+000
5,3258967E-002	1,878090438657196E-001	1,000000000000000E+000
5,4460891E-002	1,983489324791465E-001	1,000000000000000E+000
5,5694859E-002	2,075734808954790E-001	1,000000000000000E+000
5,6916315E-002	2,157117743088210E-001	1,000000000000000E+000
5,8116604E-002	2,230470573650325E-001	1,000000000000000E+000
5,9349556E-002	2,284930944442749E-001	1,000000000000000E+000
6,0423758E-002	2,360320581614754E-001	1,000000000000000E+000
6,1828163E-002	2,392589588589211E-001	1,000000000000000E+000
6,2846810E-002	2,488961275537598E-001	1,000000000000000E+000
6,4020373E-002	2,492642156236489E-001	1,000000000000000E+000
6,5312162E-002	2,561433656805159E-001	1,000000000000000E+000
6,6431999E-002	2,606155876570423E-001	1,000000000000000E+000
6,7686297E-002	2,639507026221886E-001	1,000000000000000E+000
6,8891793E-002	2,682394128879197E-001	1,000000000000000E+000
7,0082642E-002	2,706028436163992E-001	1,000000000000000E+000
7,1261637E-002	2,772772610187537E-001	1,000000000000000E+000
7,2496966E-002	2,760785855439116E-001	1,000000000000000E+000
7,3626995E-002	2,859533704446495E-001	1,000000000000000E+000
7,4905276E-002	2,837649985578752E-001	1,000000000000000E+000
7,6059796E-002	2,877460817668460E-001	1,000000000000000E+000
7,7257328E-002	2,929195145024339E-001	1,000000000000000E+000
7,8498572E-002	2,935453754961843E-001	1,000000000000000E+000
7,9685710E-002	2,979454901026282E-001	1,000000000000000E+000
8,0891415E-002	3,007936690787405E-001	1,000000000000000E+000
8,5085139E-002	3,133855033363355E-001	1,000000000000000E+000
8,9193143E-002	3,246425690379480E-001	1,000000000000000E+000
9,0495713E-002	3,305602593097348E-001	1,000000000000000E+000
9,1590099E-002	3,269118101775861E-001	1,000000000000000E+000
9,2838645E-002	3,314225621892275E-001	1,000000000000000E+000
9,4119482E-002	3,352586579448720E-001	1,000000000000000E+000
9,5101401E-002	3,373508372525169E-001	1,000000000000000E+000
9,6569248E-002	3,404298120531844E-001	1,000000000000000E+000
9,7440027E-002	3,416490767935843E-001	1,000000000000000E+000
9,9044792E-002	3,452237948206163E-001	1,000000000000000E+000
9,9854238E-002	3,506130797538418E-001	1,000000000000000E+000
1,0129276E-001	3,474980209807486E-001	1,000000000000000E+000
1,0235464E-001	3,542175692618255E-001	1,000000000000000E+000
1,0373843E-001	3,574339803437603E-001	1,000000000000000E+000
1,0490639E-001	3,582783741057272E-001	1,000000000000000E+000
1,0608277E-001	3,617614896933530E-001	1,000000000000000E+000
1,0721882E-001	3,652604752116737E-001	1,000000000000000E+000
1,0846534E-001	3,655052257624147E-001	1,000000000000000E+000
1,0961850E-001	3,702575392822771E-001	1,000000000000000E+000
1,1086867E-001	3,738133719199581E-001	1,000000000000000E+000
1,1204770E-001	3,741973239402476E-001	1,000000000000000E+000
1,1324389E-001	3,759570707592919E-001	1,000000000000000E+000
1,1444702E-001	3,809315140393608E-001	1,000000000000000E+000
1,1570282E-001	3,830773625738439E-001	1,000000000000000E+000
1,1687203E-001	3,842597072038596E-001	1,000000000000000E+000
1,1806689E-001	3,883163581291837E-001	1,000000000000000E+000
1,1935322E-001	3,897005007127995E-001	1,000000000000000E+000
1,2038186E-001	3,940192055198608E-001	1,000000000000000E+000
1,2169927E-001	3,944350936691521E-001	1,000000000000000E+000
1,2274759E-001	3,995539747152694E-001	1,000000000000000E+000
1,2406117E-001	3,998145183841531E-001	1,000000000000000E+000
1,2524794E-001	4,027833100537670E-001	1,000000000000000E+000
1,2634154E-001	4,066660822524391E-001	1,000000000000000E+000
1,2754129E-001	4,091419832116956E-001	1,000000000000000E+000
1,2872832E-001	4,118461021118693E-001	1,000000000000000E+000
1,3025224E-001	4,128813031474463E-001	1,000000000000000E+000
1,3109386E-001	4,168505784365593E-001	1,000000000000000E+000
1,3252251E-001	4,176070719215748E-001	1,000000000000000E+000
1,3346806E-001	4,219390182945606E-001	1,000000000000000E+000
1,3487335E-001	4,233808563073618E-001	1,000000000000000E+000
1,3593383E-001	4,258286675731497E-001	1,000000000000000E+000
1,3735773E-001	4,286623899393757E-001	1,000000000000000E+000
1,3834909E-001	4,293902520590503E-001	1,000000000000000E+000
1,3963173E-001	4,341651143299199E-001	1,000000000000000E+000
1,4073792E-001	4,360777822374864E-001	1,000000000000000E+000
1,4205782E-001	4,391424262602985E-001	1,000000000000000E+000
1,4323911E-001	4,417449914919303E-001	1,000000000000000E+000
1,4441907E-001	4,441807236936359E-001	1,000000000000000E+000
1,4570189E-001	4,455263751507230E-001	1,000000000000000E+000
1,4682497E-001	4,483879709323109E-001	1,000000000000000E+000
1,4801855E-001	4,515602762845390E-001	1,000000000000000E+000
1,4921306E-001	4,525098548253519E-001	1,000000000000000E+000
1,5040727E-001	4,557079089270842E-001	1,000000000000000E+000
1,5152633E-001	4,594117900080725E-001	1,000000000000000E+000
1,5288407E-001	4,595428490148930E-001	1,000000000000000E+000
1,5393966E-001	4,634317730863891E-001	1,000000000000000E+000
1,5522867E-001	4,683646444162299E-001	1,000000000000000E+000
1,5641390E-001	4,663300708677909E-001	1,000000000000000E+000
1,5760598E-001	4,713474603335346E-001	1,000000000000000E+000
1,5888804E-001	4,756212921261227E-001	1,000000000000000E+000
1,5997218E-001	4,756135717206815E-001	1,000000000000000E+000
1,6115449E-001	4,779897158172108E-001	1,000000000000000E+000
1,6245763E-001	4,815752374146260E-001	1,000000000000000E+000
1,6364299E-001	4,821816877789669E-001	1,000000000000000E+000
1,6483486E-001	4,849755217804135E-001	1,000000000000000E+000
1,6612694E-001	4,878582453303437E-001	1,000000000000000E+000
1,6729216E-001	4,892689788420856E-001	1,000000000000000E+000
1,6840519E-001	4,928788141157749E-001	1,000000000000000E+000
1,6968270E-001	4,945559216128600E-001	1,000000000000000E+000
1,7079060E-001	4,955545026395058E-001	1,000000000000000E+000
1,7204484E-001	4,990080131252324E-001	1,000000000000000E+000
1,7319497E-001	5,006948125945354E-001	1,000000000000000E+000
1,7442034E-001	5,042984543747657E-001	1,000000000000000E+000
1,7561866E-001	5,049960733374119E-001	1,000000000000000E+000
1,7684098E-001	5,061480949322386E-001	1,000000000000000E+000
1,7801544E-001	5,087085784050718E-001	1,000000000000000E+000
1,7925176E-001	5,155875004000139E-001	1,000000000000000E+000
1,8050586E-001	5,115450442406431E-001	1,000000000000000E+000
1,8171300E-001	5,141872375065280E-001	1,000000000000000E+000
1,8279047E-001	5,178390542666129E-001	1,000000000000000E+000
1,8402360E-001	5,165895095043282E-001	1,000000000000000E+000
1,8523970E-001	5,200219704959275E-001	1,000000000000000E+000
1,8635792E-001	5,217815236343704E-001	1,000000000000000E+000
1,8758042E-001	5,212220338224931E-001	1,000000000000000E+000
1,8875751E-001	5,225285771820287E-001	1,000000000000000E+000
1,9001335E-001	5,237045279979998E-001	1,000000000000000E+000
1,9117761E-001	5,276622734877665E-001	1,000000000000000E+000
1,9235598E-001	5,272165653123366E-001	1,000000000000000E+000
1,9354604E-001	5,280976705166882E-001	1,000000000000000E+000
1,9471644E-001	5,329489029116106E-001	1,000000000000000E+000
1,9595021E-001	5,329604641344670E-001	1,000000000000000E+000
1,9722642E-001	5,343766059226311E-001	1,000000000000000E+000
1,9832596E-001	5,377608124097755E-001	1,000000000000000E+000
1,9956370E-001	5,410721202691402E-001	1,000000000000000E+000
2,0026878E-001	5,413298308849335E-001	1,000000000000000E+000
2,0045689E-001	5,404900014400482E-001	1,000000000000000E+000
2,0024152E-001	5,391710400581360E-001	1,000000000000000E+000
2,0038134E-001	4,175883045083744E-001	1,000000000000000E+000
1,9857687E-001	2,106763884054361E-001	1,000000000000000E+000
1,9709371E-001	2,735769145341088E-001	1,000000000000000E+000
1,9635746E-001	2,991777385515171E-001	1,000000000000000E+000
1,9518234E-001	2,554974040853013E-001	1,000000000000000E+000
1,9392146E-001	2,398401618831689E-001	1,000000000000000E+000
1,9270509E-001	2,462806178179262E-001	1,000000000000000E+000
1,9150284E-001	2,317959554579665E-001	1,000000000000000E+000
1,9031788E-001	2,236695817231915E-001	1,000000000000000E+000
1,8912049E-001	2,216513076305602E-001	1,000000000000000E+000
1,8787156E-001	2,139550371017944E-001	1,000000000000000E+000
1,8685135E-001	2,066518331110407E-001	1,000000000000000E+000
1,8557775E-001	2,029008770068348E-001	1,000000000000000E+000
