freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1,9999814E+005	4,0286946E+000	-2,1768079E+000
1,4997773E+005	4,0283051E+000	-1,6224165E+000
1,1246474E+005	4,0294180E+000	-1,2054399E+000
8,4341602E+004	4,0314894E+000	-8,9158118E-001
6,3242277E+004	4,0384150E+000	-6,5436214E-001
4,7431707E+004	4,0446434E+000	-4,7286829E-001
3,5564504E+004	4,0526352E+000	-3,3653268E-001
2,6666418E+004	4,0625386E+000	-2,2991194E-001
2,0004451E+004	4,0730696E+000	-1,4843984E-001
1,4994063E+004	4,0849943E+000	-8,3061986E-002
1,1245549E+004	4,0986271E+000	-3,0227242E-002
8,4368438E+003	4,1148896E+000	1,2782280E-002
6,3226445E+003	4,1344066E+000	4,8187397E-002
4,7434790E+003	4,1604476E+000	8,0396459E-002
3,5561396E+003	4,1911869E+000	1,0581098E-001
2,6675613E+003	4,2226634E+000	1,2542139E-001
1,9993633E+003	4,2590280E+000	1,3677138E-001
1,4995188E+003	4,2972383E+000	1,4140394E-001
1,1246428E+003	4,3319812E+000	1,4082752E-001
8,4365161E+002	4,3632641E+000	1,3282356E-001
6,3263177E+002	4,3931904E+000	1,2559654E-001
4,7424136E+002	4,4172983E+000	1,1388734E-001
3,5556927E+002	4,4382915E+000	9,9429414E-002
2,6662128E+002	4,4547801E+000	8,9142114E-002
1,9993633E+002	4,4665542E+000	7,6565079E-002
1,4995187E+002	4,4788189E+000	6,7014404E-002
1,1248365E+002	4,4879408E+000	5,9269238E-002
8,4325668E+001	4,4949093E+000	5,1551282E-002
6,3239410E+001	4,5010910E+000	4,7715403E-002
4,7412365E+001	4,5078936E+000	4,2592846E-002
3,5557522E+001	4,5137262E+000	4,1104794E-002
2,6663839E+001	4,5171547E+000	3,9247151E-002
1,9993633E+001	4,5231457E+000	3,9364934E-002
1,4995188E+001	4,5288272E+000	3,7824597E-002
1,1249110E+001	4,5326414E+000	3,9276257E-002
8,4368143E+000	4,5376735E+000	4,1741531E-002
6,3259082E+000	4,5442829E+000	4,3931011E-002
4,7434716E+000	4,5510273E+000	4,8347004E-002
3,5576077E+000	4,5583715E+000	5,3635087E-002
2,6682019E+000	4,5642076E+000	6,0043305E-002
1,9991026E+000	4,5727849E+000	6,7222036E-002
