Ewe/V	<I>/mA	cycle number	
7,7659111E-003	-1,991841010749340E-002	1,000000000000000E+000
8,9169731E-003	2,831066939742657E-002	1,000000000000000E+000
1,0073342E-002	2,366056299816146E-002	1,000000000000000E+000
1,0966835E-002	2,492812918326648E-002	1,000000000000000E+000
1,1957125E-002	2,667344169242788E-002	1,000000000000000E+000
1,3011863E-002	2,867423088496757E-002	1,000000000000000E+000
1,3991970E-002	3,041941544506721E-002	1,000000000000000E+000
1,4982504E-002	3,229050954838308E-002	1,000000000000000E+000
1,5882395E-002	3,405338633132893E-002	1,000000000000000E+000
1,7089456E-002	3,600032129583663E-002	1,000000000000000E+000
1,8016521E-002	3,753837691275053E-002	1,000000000000000E+000
1,8950587E-002	3,940180719278202E-002	1,000000000000000E+000
2,0089932E-002	4,111002439081130E-002	1,000000000000000E+000
2,0924652E-002	4,270060840321499E-002	1,000000000000000E+000
2,2020478E-002	4,432127366480587E-002	1,000000000000000E+000
2,2957092E-002	4,555952793452889E-002	1,000000000000000E+000
2,3944655E-002	4,683260034545556E-002	1,000000000000000E+000
2,5038993E-002	4,829548123396110E-002	1,000000000000000E+000
2,5904922E-002	5,033426918951722E-002	1,000000000000000E+000
2,6995437E-002	5,182868967488119E-002	1,000000000000000E+000
2,8075768E-002	5,350817909843664E-002	1,000000000000000E+000
2,8937237E-002	5,509153023983031E-002	1,000000000000000E+000
2,9989757E-002	5,688498536538782E-002	1,000000000000000E+000
3,0967858E-002	6,008301923672366E-002	1,000000000000000E+000
3,2028534E-002	5,987335712200514E-002	1,000000000000000E+000
3,2808278E-002	6,169426912890275E-002	1,000000000000000E+000
3,4016613E-002	6,279797114742269E-002	1,000000000000000E+000
3,4894425E-002	6,363432957031934E-002	1,000000000000000E+000
3,5917647E-002	6,485575460828849E-002	1,000000000000000E+000
3,6969107E-002	6,649479446760209E-002	1,000000000000000E+000
3,7989575E-002	6,821250272224888E-002	1,000000000000000E+000
3,8924705E-002	6,993115711439797E-002	1,000000000000000E+000
3,9930739E-002	7,153245898101657E-002	1,000000000000000E+000
4,0969882E-002	7,326033174198265E-002	1,000000000000000E+000
4,2003296E-002	7,480515638814766E-002	1,000000000000000E+000
4,2899366E-002	7,631750212533883E-002	1,000000000000000E+000
4,4003688E-002	7,759867117015884E-002	1,000000000000000E+000
4,4893168E-002	7,867853419372350E-002	1,000000000000000E+000
4,5917887E-002	7,920724327710560E-002	1,000000000000000E+000
4,6996094E-002	8,038905844161348E-002	1,000000000000000E+000
4,7918700E-002	8,184252141250492E-002	1,000000000000000E+000
4,8839819E-002	8,356687229954507E-002	1,000000000000000E+000
4,9816549E-002	8,539289044630194E-002	1,000000000000000E+000
5,0874755E-002	8,876320211803179E-002	1,000000000000000E+000
5,2000955E-002	8,884920754159520E-002	1,000000000000000E+000
5,2950729E-002	9,055038598469556E-002	1,000000000000000E+000
5,3900294E-002	9,211834941783703E-002	1,000000000000000E+000
5,4940499E-002	9,350512274196088E-002	1,000000000000000E+000
5,5834662E-002	9,462835669034597E-002	1,000000000000000E+000
5,6934517E-002	9,514759803466788E-002	1,000000000000000E+000
5,7953499E-002	9,559812252754696E-002	1,000000000000000E+000
5,8880776E-002	9,709071985411410E-002	1,000000000000000E+000
5,9905697E-002	9,894648565117437E-002	1,000000000000000E+000
6,0999617E-002	1,006110647727769E-001	1,000000000000000E+000
6,1964888E-002	1,024999720975752E-001	1,000000000000000E+000
6,2995762E-002	1,040804214706572E-001	1,000000000000000E+000
6,3986719E-002	1,058354634722622E-001	1,000000000000000E+000
6,5002508E-002	1,075578492859169E-001	1,000000000000000E+000
6,5946341E-002	1,090365619467639E-001	1,000000000000000E+000
6,7232989E-002	1,094906343383686E-001	1,000000000000000E+000
6,8528481E-002	1,100780201937868E-001	1,000000000000000E+000
6,9512650E-002	1,107007236806330E-001	1,000000000000000E+000
7,0587888E-002	1,124166301796552E-001	1,000000000000000E+000
7,1608141E-002	1,143715392832685E-001	1,000000000000000E+000
7,2617985E-002	1,163619306386897E-001	1,000000000000000E+000
7,3579401E-002	1,185925014799951E-001	1,000000000000000E+000
7,4665256E-002	1,203723807853680E-001	1,000000000000000E+000
7,5556017E-002	1,219406086020172E-001	1,000000000000000E+000
7,6563112E-002	1,236279215836139E-001	1,000000000000000E+000
7,7597380E-002	1,248289300991154E-001	1,000000000000000E+000
7,8593642E-002	1,258043650261779E-001	1,000000000000000E+000
7,9624720E-002	1,255597818159946E-001	1,000000000000000E+000
8,0593184E-002	1,257466971011902E-001	1,000000000000000E+000
8,1631266E-002	1,271515004509300E-001	1,000000000000000E+000
8,2556844E-002	1,293306184449678E-001	1,000000000000000E+000
8,3572425E-002	1,311388284278414E-001	1,000000000000000E+000
8,4576972E-002	1,334091401141553E-001	1,000000000000000E+000
8,5582793E-002	1,351179768572803E-001	1,000000000000000E+000
8,6506672E-002	1,369832882105753E-001	1,000000000000000E+000
8,7629236E-002	1,388714741742996E-001	1,000000000000000E+000
8,8597275E-002	1,403053129022878E-001	1,000000000000000E+000
8,9661479E-002	1,409293587354048E-001	1,000000000000000E+000
9,0527609E-002	1,411468097940082E-001	1,000000000000000E+000
9,1529608E-002	1,404456044892198E-001	1,000000000000000E+000
9,2592321E-002	1,416399456491626E-001	1,000000000000000E+000
9,3656726E-002	1,437202234993925E-001	1,000000000000000E+000
9,4520308E-002	1,461636720018252E-001	1,000000000000000E+000
9,5597334E-002	1,496438988380960E-001	1,000000000000000E+000
9,6638277E-002	1,506688645350986E-001	1,000000000000000E+000
9,7556204E-002	1,523608544979382E-001	1,000000000000000E+000
9,8600231E-002	1,542327109620804E-001	1,000000000000000E+000
