Ewe/V	<I>/mA	cycle number	
1,1160621E-002	1,915202438831329E-001	1,000000000000000E+000
8,4855594E-003	8,587707425855762E-002	1,000000000000000E+000
9,5519479E-003	1,323908060957972E-001	1,000000000000000E+000
1,0698368E-002	1,467305838208026E-001	1,000000000000000E+000
1,1738349E-002	1,540486658147224E-001	1,000000000000000E+000
1,2733975E-002	1,613826709023374E-001	1,000000000000000E+000
1,3654878E-002	1,687633224193834E-001	1,000000000000000E+000
1,4574294E-002	1,752670312222713E-001	1,000000000000000E+000
1,5673514E-002	1,819117243996733E-001	1,000000000000000E+000
1,6657675E-002	1,890826807228023E-001	1,000000000000000E+000
1,7727178E-002	1,950039657790006E-001	1,000000000000000E+000
1,8732144E-002	2,022058373938005E-001	1,000000000000000E+000
1,9607197E-002	2,088688648461055E-001	1,000000000000000E+000
2,0697923E-002	2,154709258013298E-001	1,000000000000000E+000
2,1677203E-002	2,223834640656914E-001	1,000000000000000E+000
2,2660306E-002	2,288483064621690E-001	1,000000000000000E+000
2,3668457E-002	2,356400668439971E-001	1,000000000000000E+000
2,4711845E-002	2,417883318590199E-001	1,000000000000000E+000
2,5506228E-002	2,479285219580771E-001	1,000000000000000E+000
2,6753409E-002	2,552039277118956E-001	1,000000000000000E+000
2,7681530E-002	2,610177994550518E-001	1,000000000000000E+000
2,8724493E-002	2,668310231011777E-001	1,000000000000000E+000
2,9659409E-002	2,735802930417588E-001	1,000000000000000E+000
3,0611733E-002	2,795615405516907E-001	1,000000000000000E+000
3,1573176E-002	2,855682911920465E-001	1,000000000000000E+000
3,2768346E-002	2,916300345677900E-001	1,000000000000000E+000
3,3670574E-002	2,972850480841285E-001	1,000000000000000E+000
3,4719702E-002	3,070322098986571E-001	1,000000000000000E+000
3,5599377E-002	3,107842025864462E-001	1,000000000000000E+000
3,6628548E-002	3,165742388098605E-001	1,000000000000000E+000
3,7714817E-002	3,217878860628440E-001	1,000000000000000E+000
3,8699824E-002	3,272402709763922E-001	1,000000000000000E+000
3,9678261E-002	3,321413900961891E-001	1,000000000000000E+000
4,0674735E-002	3,373232523703753E-001	1,000000000000000E+000
4,1692011E-002	3,417208389016917E-001	1,000000000000000E+000
4,2623319E-002	3,465587524955893E-001	1,000000000000000E+000
4,3718934E-002	3,501100463068330E-001	1,000000000000000E+000
4,4686750E-002	3,528086563779249E-001	1,000000000000000E+000
4,5707848E-002	3,576015564354362E-001	1,000000000000000E+000
4,6659321E-002	3,622465371154253E-001	1,000000000000000E+000
4,7728181E-002	3,683372175631430E-001	1,000000000000000E+000
4,8626583E-002	3,749633459633024E-001	1,000000000000000E+000
4,9658719E-002	3,810954508112969E-001	1,000000000000000E+000
5,0656259E-002	3,874824014751033E-001	1,000000000000000E+000
5,1696256E-002	3,944179358529984E-001	1,000000000000000E+000
5,2566633E-002	4,005379845491719E-001	1,000000000000000E+000
5,3608537E-002	4,072119995382524E-001	1,000000000000000E+000
5,4675706E-002	4,131345104736592E-001	1,000000000000000E+000
5,5549052E-002	4,198179603554313E-001	1,000000000000000E+000
5,6680750E-002	4,253521359836077E-001	1,000000000000000E+000
5,7660665E-002	4,310672657512553E-001	1,000000000000000E+000
5,8668394E-002	4,371883337799876E-001	1,000000000000000E+000
5,9643004E-002	4,432226053904760E-001	1,000000000000000E+000
6,0705286E-002	4,491676191747613E-001	1,000000000000000E+000
6,1667584E-002	4,546568015745560E-001	1,000000000000000E+000
6,2745750E-002	4,605682717843216E-001	1,000000000000000E+000
6,3550964E-002	4,687216782218062E-001	1,000000000000000E+000
6,4575881E-002	4,727630312295852E-001	1,000000000000000E+000
6,5589771E-002	4,774905535547678E-001	1,000000000000000E+000
6,6607043E-002	4,826181167477972E-001	1,000000000000000E+000
6,7679517E-002	4,865965058561432E-001	1,000000000000000E+000
6,8675563E-002	4,907321592585898E-001	1,000000000000000E+000
6,9621727E-002	4,940801492581759E-001	1,000000000000000E+000
7,0637308E-002	4,961890203671331E-001	1,000000000000000E+000
7,1568824E-002	4,975060547391585E-001	1,000000000000000E+000
7,2630480E-002	4,974455083202987E-001	1,000000000000000E+000
7,3674932E-002	4,992813574046728E-001	1,000000000000000E+000
7,4679255E-002	5,029611119276138E-001	1,000000000000000E+000
7,5589120E-002	5,081675710260063E-001	1,000000000000000E+000
7,6557994E-002	5,150959311156651E-001	1,000000000000000E+000
7,7681422E-002	5,224897514304381E-001	1,000000000000000E+000
7,8656673E-002	5,298522268939365E-001	1,000000000000000E+000
7,9665668E-002	5,369897883695884E-001	1,000000000000000E+000
8,0629028E-002	5,445589366782895E-001	1,000000000000000E+000
8,1595786E-002	5,508881910290162E-001	1,000000000000000E+000
8,2566775E-002	5,581680358801471E-001	1,000000000000000E+000
8,3690837E-002	5,644517741683490E-001	1,000000000000000E+000
8,4586695E-002	5,709028992698464E-001	1,000000000000000E+000
8,5546017E-002	5,772436775991494E-001	1,000000000000000E+000
8,6594500E-002	5,834985455084203E-001	1,000000000000000E+000
8,7671436E-002	5,892198884135329E-001	1,000000000000000E+000
8,8582568E-002	5,962841625118447E-001	1,000000000000000E+000
8,9629993E-002	6,014666663379318E-001	1,000000000000000E+000
9,0544105E-002	6,078645208229627E-001	1,000000000000000E+000
9,1661371E-002	6,141477718742356E-001	1,000000000000000E+000
9,2574410E-002	6,191283398204401E-001	1,000000000000000E+000
9,3645491E-002	6,290177686346925E-001	1,000000000000000E+000
9,4639510E-002	6,309029581025252E-001	1,000000000000000E+000
9,5609449E-002	6,337995022638809E-001	1,000000000000000E+000
9,6699759E-002	6,369537903616873E-001	1,000000000000000E+000
9,7562283E-002	6,392097456587698E-001	1,000000000000000E+000
9,8570645E-002	6,393849170870274E-001	1,000000000000000E+000
9,9675171E-002	6,377179564701190E-001	1,000000000000000E+000
1,0056657E-001	6,339629476683015E-001	1,000000000000000E+000
1,0182011E-001	6,323823153765673E-001	1,000000000000000E+000
1,0263021E-001	6,343252152308008E-001	1,000000000000000E+000
1,0360079E-001	6,393727313002788E-001	1,000000000000000E+000
1,0459916E-001	6,469077894774564E-001	1,000000000000000E+000
1,0571239E-001	6,551251305370700E-001	1,000000000000000E+000
1,0653671E-001	6,639282001285922E-001	1,000000000000000E+000
1,0762257E-001	6,728769481285597E-001	1,000000000000000E+000
1,0853709E-001	6,808413684161163E-001	1,000000000000000E+000
1,0955140E-001	6,892674015834945E-001	1,000000000000000E+000
1,1061580E-001	6,978888132919874E-001	1,000000000000000E+000
1,1159487E-001	7,054344510349182E-001	1,000000000000000E+000
1,1264867E-001	7,134061656478412E-001	1,000000000000000E+000
1,1351883E-001	7,199350515794425E-001	1,000000000000000E+000
1,1462973E-001	7,268410227261475E-001	1,000000000000000E+000
1,1554278E-001	7,340501153117263E-001	1,000000000000000E+000
1,1652863E-001	7,416980047710240E-001	1,000000000000000E+000
1,1768305E-001	7,482724638345362E-001	1,000000000000000E+000
1,1864047E-001	7,549710378257792E-001	1,000000000000000E+000
1,1970827E-001	7,610026654373452E-001	1,000000000000000E+000
