freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1,9999814E+005	1,0806956E+000	-2,3341846E+000
1,4997773E+005	1,0677112E+000	-1,7401061E+000
1,1246474E+005	1,0641606E+000	-1,2906649E+000
8,4341602E+004	1,0653909E+000	-9,5401680E-001
6,3242277E+004	1,0693570E+000	-6,9808716E-001
4,7431707E+004	1,0766560E+000	-5,0503296E-001
3,5564504E+004	1,0863534E+000	-3,5804453E-001
2,6666418E+004	1,0988361E+000	-2,4486208E-001
2,0004451E+004	1,1126958E+000	-1,5907045E-001
1,4994063E+004	1,1292417E+000	-9,3288310E-002
1,1245549E+004	1,1474739E+000	-4,4537585E-002
8,4368438E+003	1,1674969E+000	-8,7824380E-003
6,3226445E+003	1,1887128E+000	1,7673094E-002
4,7434790E+003	1,2095144E+000	3,3730071E-002
3,5561396E+003	1,2290522E+000	4,2580843E-002
2,6675613E+003	1,2468423E+000	4,6557140E-002
1,9993633E+003	1,2617067E+000	4,6611216E-002
1,4995188E+003	1,2744793E+000	4,4214912E-002
1,1246428E+003	1,2841080E+000	3,9618678E-002
8,4365161E+002	1,2921420E+000	3,5987020E-002
6,3263177E+002	1,2985255E+000	3,1277601E-002
4,7424136E+002	1,3036255E+000	2,7769716E-002
3,5556927E+002	1,3072795E+000	2,4288252E-002
2,6662128E+002	1,3110226E+000	2,2628382E-002
1,9993633E+002	1,3136479E+000	1,9549975E-002
1,4995187E+002	1,3168031E+000	1,8592222E-002
1,1248365E+002	1,3188845E+000	1,8409852E-002
8,4325668E+001	1,3206382E+000	1,8342618E-002
6,3239410E+001	1,3241462E+000	1,8543962E-002
4,7412365E+001	1,3266139E+000	1,8829297E-002
3,5557522E+001	1,3300883E+000	2,0162912E-002
2,6663839E+001	1,3330984E+000	2,1081816E-002
1,9993633E+001	1,3371689E+000	2,2795990E-002
1,4995188E+001	1,3404198E+000	2,5263006E-002
1,1249110E+001	1,3433127E+000	2,6099857E-002
8,4368143E+000	1,3480916E+000	3,0517517E-002
6,3259082E+000	1,3531225E+000	3,4951828E-002
4,7434716E+000	1,3592530E+000	3,9441578E-002
3,5576077E+000	1,3654464E+000	4,3316804E-002
2,6682019E+000	1,3732040E+000	4,9620695E-002
1,9991026E+000	1,3807452E+000	5,5872332E-002
