Ewe/V	<I>/mA	cycle number	
3,6720578E-002	2,205648571252823E-001	1,000000000000000E+000
3,7303414E-002	1,386213495078179E-001	1,000000000000000E+000
3,8473971E-002	3,026659523904391E-001	1,000000000000000E+000
3,9690111E-002	3,631367314934590E-001	1,000000000000000E+000
4,0917747E-002	4,064494112842825E-001	1,000000000000000E+000
4,2075202E-002	4,336732514116362E-001	1,000000000000000E+000
4,3304782E-002	4,633442796852996E-001	1,000000000000000E+000
4,4483636E-002	4,871577268759557E-001	1,000000000000000E+000
4,5672536E-002	5,106412039690262E-001	1,000000000000000E+000
4,6836812E-002	5,284156625297047E-001	1,000000000000000E+000
4,8132498E-002	5,456649677620992E-001	1,000000000000000E+000
4,9261779E-002	5,608489501065831E-001	1,000000000000000E+000
5,0535422E-002	5,768168527391513E-001	1,000000000000000E+000
5,1735580E-002	5,874352893723120E-001	1,000000000000000E+000
5,2914925E-002	6,024442269656540E-001	1,000000000000000E+000
5,4096822E-002	6,193583483324829E-001	1,000000000000000E+000
5,5228695E-002	6,284651851747194E-001	1,000000000000000E+000
5,6486379E-002	6,394632913827616E-001	1,000000000000000E+000
5,7697784E-002	6,547852117326816E-001	1,000000000000000E+000
5,8937285E-002	6,636045149234313E-001	1,000000000000000E+000
6,0077071E-002	6,776959304266651E-001	1,000000000000000E+000
6,1314657E-002	6,872715742879159E-001	1,000000000000000E+000
6,2447600E-002	6,956156426005897E-001	1,000000000000000E+000
6,3688301E-002	7,087629408558358E-001	1,000000000000000E+000
6,4885944E-002	7,173647942901087E-001	1,000000000000000E+000
6,6111229E-002	7,258330348240989E-001	1,000000000000000E+000
6,7261234E-002	7,385486021241245E-001	1,000000000000000E+000
6,8464868E-002	7,437389741686200E-001	1,000000000000000E+000
6,9724739E-002	7,522856837949146E-001	1,000000000000000E+000
7,0846349E-002	7,614890071735871E-001	1,000000000000000E+000
7,2070919E-002	7,736211469121028E-001	1,000000000000000E+000
7,3219143E-002	7,774473726404452E-001	1,000000000000000E+000
7,4456446E-002	7,914496619012912E-001	1,000000000000000E+000
7,5663894E-002	7,958434046918761E-001	1,000000000000000E+000
7,6864459E-002	8,064681485691949E-001	1,000000000000000E+000
7,8091659E-002	8,119258508603622E-001	1,000000000000000E+000
7,9273410E-002	8,178545911537700E-001	1,000000000000000E+000
8,0482483E-002	8,256586831649431E-001	1,000000000000000E+000
8,1673801E-002	8,335349869793607E-001	1,000000000000000E+000
8,2876258E-002	8,402804823557837E-001	1,000000000000000E+000
8,4071420E-002	8,510230100817155E-001	1,000000000000000E+000
8,5260116E-002	8,571998890558294E-001	1,000000000000000E+000
8,6503647E-002	8,646922334511231E-001	1,000000000000000E+000
8,7697290E-002	8,736239431460415E-001	1,000000000000000E+000
8,8914901E-002	8,812032383521684E-001	1,000000000000000E+000
9,0071559E-002	8,901668001414755E-001	1,000000000000000E+000
9,1293246E-002	8,952034049563942E-001	1,000000000000000E+000
9,2495307E-002	9,036524775955419E-001	1,000000000000000E+000
9,3691066E-002	9,119700690110530E-001	1,000000000000000E+000
9,4872333E-002	9,242305515368496E-001	1,000000000000000E+000
9,6122868E-002	9,303682107581874E-001	1,000000000000000E+000
9,7297333E-002	9,390921005116833E-001	1,000000000000000E+000
9,8480582E-002	9,485902844376319E-001	1,000000000000000E+000
9,9735081E-002	9,603002096388338E-001	1,000000000000000E+000
1,0090403E-001	9,692882249752683E-001	1,000000000000000E+000
1,0208537E-001	9,756571410948212E-001	1,000000000000000E+000
1,0333350E-001	9,870010946221939E-001	1,000000000000000E+000
1,0448299E-001	9,956007955630337E-001	1,000000000000000E+000
1,0570160E-001	1,004845480934751E+000	1,000000000000000E+000
1,0686468E-001	1,013911984912644E+000	1,000000000000000E+000
1,0807655E-001	1,020105867801856E+000	1,000000000000000E+000
1,0934335E-001	1,029668779802266E+000	1,000000000000000E+000
1,1048925E-001	1,037152505583235E+000	1,000000000000000E+000
1,1167520E-001	1,047408103942874E+000	1,000000000000000E+000
1,1290644E-001	1,053747312114059E+000	1,000000000000000E+000
1,1413524E-001	1,061101767751907E+000	1,000000000000000E+000
1,1529536E-001	1,071138877887286E+000	1,000000000000000E+000
1,1648510E-001	1,078858162845590E+000	1,000000000000000E+000
1,1763586E-001	1,086340909237390E+000	1,000000000000000E+000
1,1892937E-001	1,099917788524182E+000	1,000000000000000E+000
1,2010970E-001	1,105270479236628E+000	1,000000000000000E+000
1,2121816E-001	1,114314659619362E+000	1,000000000000000E+000
1,2248759E-001	1,121656340132990E+000	1,000000000000000E+000
1,2369806E-001	1,134178795006680E+000	1,000000000000000E+000
1,2488046E-001	1,142036081205506E+000	1,000000000000000E+000
1,2607561E-001	1,148954468417081E+000	1,000000000000000E+000
1,2725419E-001	1,157127708196642E+000	1,000000000000000E+000
1,2854327E-001	1,167509516856320E+000	1,000000000000000E+000
1,2967727E-001	1,174486270398593E+000	1,000000000000000E+000
1,3092965E-001	1,183100951266375E+000	1,000000000000000E+000
1,3203946E-001	1,191529829451746E+000	1,000000000000000E+000
1,3336319E-001	1,196802993684464E+000	1,000000000000000E+000
1,3453943E-001	1,204496860504156E+000	1,000000000000000E+000
1,3570200E-001	1,212070799536178E+000	1,000000000000000E+000
1,3696459E-001	1,222875847601918E+000	1,000000000000000E+000
1,3814041E-001	1,228138358314972E+000	1,000000000000000E+000
1,3929373E-001	1,235582935330632E+000	1,000000000000000E+000
1,4047959E-001	1,247359759346760E+000	1,000000000000000E+000
1,4171146E-001	1,252523575478271E+000	1,000000000000000E+000
1,4288387E-001	1,260427473354398E+000	1,000000000000000E+000
1,4408848E-001	1,271577379028146E+000	1,000000000000000E+000
1,4533371E-001	1,276551331048484E+000	1,000000000000000E+000
1,4640035E-001	1,286708366574238E+000	1,000000000000000E+000
1,4767255E-001	1,294712898649138E+000	1,000000000000000E+000
1,4897360E-001	1,299240320075853E+000	1,000000000000000E+000
1,5001668E-001	1,309885236106950E+000	1,000000000000000E+000
1,5130152E-001	1,317152696299466E+000	1,000000000000000E+000
1,5248859E-001	1,325140247811327E+000	1,000000000000000E+000
1,5367523E-001	1,332892524716619E+000	1,000000000000000E+000
1,5484227E-001	1,342050182339910E+000	1,000000000000000E+000
1,5608177E-001	1,349398251191749E+000	1,000000000000000E+000
1,5728621E-001	1,355668527367351E+000	1,000000000000000E+000
1,5847386E-001	1,367561948002766E+000	1,000000000000000E+000
1,5970977E-001	1,369959342000249E+000	1,000000000000000E+000
1,6089676E-001	1,382175200515324E+000	1,000000000000000E+000
1,6207172E-001	1,381905802456598E+000	1,000000000000000E+000
1,6325212E-001	1,396971029660637E+000	1,000000000000000E+000
1,6447274E-001	1,401799662245645E+000	1,000000000000000E+000
1,6565259E-001	1,406794899884888E+000	1,000000000000000E+000
1,6689499E-001	1,412546429438173E+000	1,000000000000000E+000
1,6812004E-001	1,420611504051420E+000	1,000000000000000E+000
1,6923708E-001	1,426170008895159E+000	1,000000000000000E+000
1,7047818E-001	1,433803285127158E+000	1,000000000000000E+000
1,7169157E-001	1,438315880001973E+000	1,000000000000000E+000
1,7292196E-001	1,444514118117734E+000	1,000000000000000E+000
1,7405057E-001	1,448570440143897E+000	1,000000000000000E+000
1,7529474E-001	1,453524387614046E+000	1,000000000000000E+000
1,7650536E-001	1,459721441104735E+000	1,000000000000000E+000
1,7772484E-001	1,465292567197512E+000	1,000000000000000E+000
1,7888197E-001	1,471371899117480E+000	1,000000000000000E+000
1,8007542E-001	1,473109488720421E+000	1,000000000000000E+000
1,8130356E-001	1,477094814922928E+000	1,000000000000000E+000
1,8247876E-001	1,481525759747322E+000	1,000000000000000E+000
1,8373820E-001	1,483690772705749E+000	1,000000000000000E+000
1,8486647E-001	1,485140807943902E+000	1,000000000000000E+000
1,8604805E-001	1,485687066197251E+000	1,000000000000000E+000
1,8728818E-001	1,484845914032864E+000	1,000000000000000E+000
1,8851960E-001	1,483953893115668E+000	1,000000000000000E+000
1,8968394E-001	1,480523273245325E+000	1,000000000000000E+000
1,9087364E-001	1,477144660962811E+000	1,000000000000000E+000
1,9209999E-001	1,474298652606429E+000	1,000000000000000E+000
1,9331047E-001	1,471328365323308E+000	1,000000000000000E+000
1,9448982E-001	1,469993989380001E+000	1,000000000000000E+000
1,9568200E-001	1,469552681591630E+000	1,000000000000000E+000
1,9691555E-001	1,468461130176566E+000	1,000000000000000E+000
1,9813828E-001	1,471052631770299E+000	1,000000000000000E+000
1,9924530E-001	1,474227603869856E+000	1,000000000000000E+000
2,0020452E-001	1,479608036577703E+000	1,000000000000000E+000
2,0069477E-001	1,461733698844910E+000	1,000000000000000E+000
2,0067738E-001	1,460244476795197E+000	1,000000000000000E+000
1,9986142E-001	1,263317013814772E+000	1,000000000000000E+000
1,9862132E-001	1,216711728919847E+000	1,000000000000000E+000
1,9746158E-001	1,184659222761793E+000	1,000000000000000E+000
