Ewe/V	<I>/mA	cycle number	
1,2804101E-002	5,760666728019714E-001	1,000000000000000E+000
1,7250564E-002	5,136009021662193E-001	1,000000000000000E+000
1,6478678E-002	2,287001239168127E-001	1,000000000000000E+000
1,8513817E-002	3,212344876669380E-001	1,000000000000000E+000
1,9107144E-002	3,228902309460384E-001	1,000000000000000E+000
2,0208037E-002	3,188900818220439E-001	1,000000000000000E+000
2,1192169E-002	3,367929386440665E-001	1,000000000000000E+000
2,2126419E-002	3,373393761770189E-001	1,000000000000000E+000
2,3206506E-002	3,472291045149598E-001	1,000000000000000E+000
2,4220783E-002	3,525359743378234E-001	1,000000000000000E+000
2,6553331E-002	3,703817505246176E-001	1,000000000000000E+000
2,9156322E-002	3,828184015324552E-001	1,000000000000000E+000
3,0217938E-002	3,899415423576220E-001	1,000000000000000E+000
3,1220539E-002	3,970615057688631E-001	1,000000000000000E+000
3,2209568E-002	4,022423606416544E-001	1,000000000000000E+000
3,3244446E-002	4,109269427911695E-001	1,000000000000000E+000
3,4237102E-002	4,165395142303576E-001	1,000000000000000E+000
3,5180505E-002	4,235343014200539E-001	1,000000000000000E+000
3,6217101E-002	4,312355598020918E-001	1,000000000000000E+000
3,7247963E-002	4,367526711689109E-001	1,000000000000000E+000
3,9755255E-002	4,210617765270843E-001	1,000000000000000E+000
4,1927844E-002	4,616975033811004E-001	1,000000000000000E+000
4,3232124E-002	4,792617566159224E-001	1,000000000000000E+000
4,4168320E-002	4,910619934089482E-001	1,000000000000000E+000
4,5177314E-002	4,911066277159597E-001	1,000000000000000E+000
4,6184834E-002	5,007696355589566E-001	1,000000000000000E+000
4,7135457E-002	5,063305543735650E-001	1,000000000000000E+000
4,8157401E-002	5,123474001884476E-001	1,000000000000000E+000
4,9381230E-002	5,190391714891636E-001	1,000000000000000E+000
5,0222952E-002	5,239307136895768E-001	1,000000000000000E+000
5,1119231E-002	5,304029934729133E-001	1,000000000000000E+000
5,2209124E-002	5,446491417371586E-001	1,000000000000000E+000
5,3065661E-002	5,423109708871294E-001	1,000000000000000E+000
5,4168485E-002	5,526302375623766E-001	1,000000000000000E+000
