Ewe/V	<I>/mA	
1,0070781E-001	6,868871791564288E+001
1,0070399E-001	6,869258755685394E+001
1,0070399E-001	6,880409463822308E+001
1,0073069E-001	6,887395886575705E+001
1,0069255E-001	6,873394841300133E+001
1,0061242E-001	6,867623323057408E+001
1,0070399E-001	6,873934705510548E+001
1,0069255E-001	6,885233148941722E+001
1,0065058E-001	6,880290742658420E+001
1,0068110E-001	6,866759207740168E+001
1,0065821E-001	6,869115059545288E+001
1,0066965E-001	6,880704525627857E+001
1,0066965E-001	6,886236609660432E+001
1,0067728E-001	6,869899007166410E+001
1,0065439E-001	6,866952719097597E+001
1,0072688E-001	6,874327248855425E+001
1,0070018E-001	6,885709497983297E+001
1,0066965E-001	6,877222844173936E+001
1,0066965E-001	6,865487552587194E+001
1,0065057E-001	6,868923226196935E+001
1,0068873E-001	6,880521391315369E+001
1,0068491E-001	6,884031507676015E+001
1,0072688E-001	6,866282716334089E+001
1,0068491E-001	6,866046773029788E+001
1,0067347E-001	6,873665282285970E+001
1,0066202E-001	6,884508688169026E+001
1,3009541E-001	6,872442750812029E+001
1,4167571E-001	9,929790747673785E+001
1,5092085E-001	1,009809513547043E+002
1,5093230E-001	1,024423064499099E+002
1,5095900E-001	1,022481699429303E+002
1,5097046E-001	1,021211094431995E+002
1,5097427E-001	1,017883596331578E+002
1,5095519E-001	1,018468977373588E+002
1,5094374E-001	1,020618953959883E+002
1,5093613E-001	1,023175263503221E+002
1,5095139E-001	1,021615417226633E+002
1,5097427E-001	1,021461891053932E+002
1,5097427E-001	1,023098447552794E+002
1,5096664E-001	1,025688659120303E+002
1,5097427E-001	1,025825864110342E+002
1,5094756E-001	1,023587529214930E+002
1,5095139E-001	1,024573512180511E+002
1,5097427E-001	1,026290955659567E+002
1,5093993E-001	1,028069879242714E+002
1,5096664E-001	1,025451869899234E+002
1,5092085E-001	1,025234463063908E+002
1,5090178E-001	1,026460062353292E+002
1,5091704E-001	1,028593016447702E+002
1,5090559E-001	1,027776595818557E+002
1,5094757E-001	1,025560677793828E+002
1,5098953E-001	1,026510085349551E+002
1,5089415E-001	1,028076118378614E+002
1,5093611E-001	1,029411694752075E+002
1,5092467E-001	1,026308589586404E+002
1,5093231E-001	1,026411426625134E+002
1,5095520E-001	1,027634725697786E+002
1,5093613E-001	1,029525239844665E+002
1,5095137E-001	1,028155020922721E+002
1,5095137E-001	1,026189539580345E+002
1,5093230E-001	1,027301683712443E+002
1,5095137E-001	1,028867097722936E+002
1,5098190E-001	1,029813748457910E+002
1,5097427E-001	1,026570254220089E+002
1,5095519E-001	1,026976026630242E+002
1,5091322E-001	1,028162552203429E+002
1,5095139E-001	1,029943789980361E+002
1,5094376E-001	1,027992207579375E+002
1,5090559E-001	1,026424052449428E+002
1,5093611E-001	1,027495765168762E+002
1,5091704E-001	1,029000805291622E+002
1,5091704E-001	1,029337574953450E+002
1,5092085E-001	1,026062392192489E+002
1,5093993E-001	1,026677031719125E+002
1,5091704E-001	1,027887950206746E+002
1,5095901E-001	1,029375578524966E+002
1,5095901E-001	1,027004659382430E+002
1,5095137E-001	1,025879102469231E+002
1,5092848E-001	1,027180119302024E+002
1,5095139E-001	1,028680492936118E+002
1,5091322E-001	1,028468580684061E+002
1,5090941E-001	1,025596451842583E+002
1,5095901E-001	1,026568634820024E+002
1,5091322E-001	1,027919063809217E+002
1,5092085E-001	1,029123201672277E+002
1,5093993E-001	1,026449392400630E+002
1,5094374E-001	1,025875857001009E+002
1,5097809E-001	1,027275715235142E+002
1,9191547E-001	1,367863956674291E+002
2,0087826E-001	1,379642913911549E+002
